Title,Duration
Joan Of Arc,2h 18Minutes
Joe,2h 4Minutes
John McEnroe: In The Realm Of Perfection,1h 35Minutes
John Wick: Chapter 3 - Parabellum,2h 8Minutes
John Wick: Chapter 4,2h 49Minutes
Journey's End,1h 43Minutes
Joyland,2h 7Minutes
Joyride,1h 34Minutes
Juha,1h 33Minutes
Julieta,1h 39Minutes
Jumbo,1h 33Minutes
Jupiter's Moon,12Minutes
Just Another Girl on the I.R.T.,1h 32Minutes
Just Like A Woman,1h 27Minutes
Justine,1h 22Minutes
Kaboom,1h 26Minutes
Katalin Varga,1h 25Minutes
Kate Plays Christine,1h 52Minutes
Keep The Lights On,1h 41Minutes
The Kid With A Bike,1h 27Minutes
Kill List,1h 32Minutes
The Killing Of A Sacred Deer,2h 0Minutes
The Killing of Two Lovers,1h 25Minutes
The Kingmaker,1h 41Minutes
Kings Of The Road,2h 48Minutes
Knives Out,2h 10Minutes
Kokomo City,1h 13Minutes
"Kumiko, The Treasure Hunter",1h 42Minutes
Kursk: The Last Mission,1h 57Minutes
The Lost Boys,1h 23Minutes
Love Life,2h 3Minutes
A Life on the Farm,1h 15Minutes
Lie With Me,1h 38Minutes
La Belle Epoque,1h 55Minutes
La Belle et la Bête,1h 33Minutes
La La Land,2h 8Minutes
La Maison De La Radio,1h 39Minutes
L'Amant Double,1h 48Minutes
L'Atalante,1h 25Minutes
"Lacombe, Lucien",2h 12Minutes
Lady Macbeth,1h 25Minutes
Lancelot du Lac,1h 25Minutes
Land And Freedom,1h 47Minutes
Land Of Silence And Darkness,1h 25Minutes
A Late Quartet,1h 45Minutes
La Pointe Courte,1h 16Minutes
La Strada,1h 48Minutes
La Vie En Rose,2h 20Minutes
La Vie De Boheme,1h 40Minutes
La Ville Louvre,1h 24Minutes
Law of Tehran,2h 14Minutes
Leonor Will Never Die,1h 39Minutes
Leaving to Remain,1h 32Minutes
Loving Vincent,1h 30Minutes
L'immensità,1h 39Minutes
Living,1h 42Minutes
Lunana: A Yak In The Classroom,1h 50Minutes
Lovetrue,1h 22Minutes
The Limehouse Golem,1h 44Minutes
The Look Of Silence,1h 38Minutes
The Left-Handed Woman,1h 59Minutes
Lisbon Story,1h 39Minutes
The Levelling,1h 23Minutes
Little Richard: I Am Everything,1h 41Minutes
The Long Day Closes,1h 25Minutes
"Lingui, the Sacred Bonds",1h 28Minutes
Lonesome Jim,1h 31Minutes
Little White Lies,2h 34Minutes
Leonard Cohen: I'm Your Man,1h 45Minutes
Lola and the Sea,1h 30Minutes
Little Men,1h 25Minutes
Loveless,2h 1Minutes
Liam Gallagher: As It Was,1h 25Minutes
Litigante,1h 33Minutes
Lou Reed's Berlin,1h 21Minutes
Lost In France,1h 40Minutes
Los Bastardos,1h 26Minutes
Leningrad Cowboys Meet Moses,1h 34Minutes
Leningrad Cowboys Go America,1h 15Minutes
Lights In The Dusk,1h 18Minutes
Love Is Strange,1h 32Minutes
La Haine,1h 36Minutes
Lady Boss: The Jackie Collins Story,1h 36Minutes
"L'une Chante, L'autre Pas",2h 1Minutes
Le Bonheur,1h 19Minutes
Le Havre,1h 33Minutes
Le Refuge,1h 28Minutes
Le Week-end,1h 33Minutes
Lean On Pete,1h 57Minutes
Leaning Into The Wind,1h 32Minutes
Leonardo: The Works,1h 42Minutes
Les Combattants,1h 38Minutes
Les Dames Du Bois De Boulogne,1h 23Minutes
Les Misérables,1h 44Minutes
Let The Sunshine In,1h 31Minutes
Leviathan,2h 20Minutes
Life Is Sweet,1h 43Minutes
Life Of Crime,1h 34Minutes
Lift to the Scaffold,1h 28Minutes
"Like Father, Like Son",1h 58Minutes
Lilting,1h 31Minutes
Lion's Den,2h 11Minutes
Little Joe,1h 45Minutes
Live Flesh,1h 39Minutes
Little Girl,1h 25Minutes
"Lo And Behold, Reveries Of The Connected World",1h 36Minutes
Locke,1h 25Minutes
Long Day's Journey Into Night,2h 13Minutes
Long Shot,2h 5Minutes
Lore,1h 49Minutes
Loro,2h 30Minutes
Lourdes,1h 39Minutes
Love,2h 15Minutes
Love & Friendship,1h 33Minutes
Love Child,1h 52Minutes
Love Like Poison,1h 32Minutes
The Lovers,1h 27Minutes
Lucien Freud: A Self Portrait,1h 20Minutes
The Lunchbox,1h 45Minutes
Luxor,1h 25Minutes
Luzzu,1h 35Minutes
Lynch/Oz,1h 49Minutes
My Friend Lanre,1h 25Minutes
Minari,1h 55Minutes
Mean Streets,1h 52Minutes
My Father's Secrets,1h 14Minutes
Mother and Son,1h 57Minutes
Merkel,1h 35Minutes
Medusa Deluxe,1h 41Minutes
Manderlay,2h 19Minutes
Le mépris,1h 43Minutes
My Name Is Alfred Hitchcock,2h 0Minutes
Medusa,2h 7Minutes
Master Gardener,1h 51Minutes
Mad About the Boy: The Noël Coward Story,1h 31Minutes
